,fanfic_id,pairing_name
0,47484628,F/M
1,45235999,F/M
2,45056584,F/M
3,45056584,Gen
4,47328118,F/M
5,44907388,F/M
6,46640377,Gen
7,47400718,F/M
8,47400718,M/M
9,47400718,Multi
10,45303043,F/M
11,46368685,F/M
12,46755508,F/M
13,46867039,F/M
14,47746132,F/M
15,47746132,Gen
16,46788061,F/M
17,47830324,F/M
18,47226187,F/F
19,47226187,F/M
20,46266553,F/M
21,47835571,F/M
22,47845816,F/M
23,47834269,Gen
24,45601189,F/M
25,47262397,F/M
26,47262397,Gen
27,47262397,Multi
28,47837278,Other
29,47817208,F/M
30,47817208,Multi
31,47811550,F/M
32,45631399,F/M
33,45631399,Gen
34,47851000,F/M
35,47802628,F/M
36,47802628,Gen
37,45773677,F/M
38,46481659,F/M
39,47821801,F/M
40,47577928,F/M
41,46898590,F/M
42,47156923,F/M
43,47156923,Gen
44,47156923,M/M
45,47047300,F/M
46,47150023,F/M
47,47199304,Gen
48,46864237,F/M
49,46864237,M/M
50,46864237,Multi
51,47271217,F/F
52,45776386,F/F
53,45776386,F/M
54,45776386,Multi
55,47080912,F/M
56,47034073,F/M
57,47570875,F/M
58,46998766,F/M
59,47560099,Multi
60,46969591,F/M
61,47569873,Gen
62,46796395,F/F
63,46796395,F/M
64,46796395,Other
65,46023349,F/M
66,46687885,F/M
67,47021806,F/M
68,47037772,F/M
69,44961781,F/M
70,47119729,F/M
71,47085679,Multi
72,47292367,F/F
73,45319210,F/M
74,46973182,F/M
75,47124388,F/M
76,46853329,F/M
77,45452680,F/M
78,47519422,F/M
79,47519422,M/M
80,47519422,Multi
81,47679136,Multi
82,47390227,Multi
83,46955077,F/M
84,45356128,F/M
85,47575342,Gen
86,47490490,F/M
87,47490490,Gen
88,47289190,F/M
89,47246881,F/M
90,47175877,F/M
91,47175877,Gen
92,46773547,F/M
93,47764168,F/M
94,46381468,F/M
95,47494396,F/M
96,47463505,F/M
97,47439058,F/M
98,47439058,Gen
99,47882233,Gen
100,46130890,F/M
101,46130890,Gen
102,47387896,F/M
103,44688367,F/M
104,46218217,F/M
105,46218217,F/F
106,47580799,F/M
107,44791187,F/M
108,47417956,Multi
109,45856504,M/M
110,47334856,Multi
111,47878120,F/M
112,47878120,Multi
113,47536093,F/M
114,47361427,F/M
115,47804239,F/M
116,47772334,F/M
117,46568050,F/M
118,47357743,F/M
119,47288461,F/M
120,47524435,Multi
121,47298775,F/M
122,47711464,F/M
123,47270335,F/M
124,47860891,F/M
125,47476684,F/M
126,47342179,F/M
127,47601052,F/M
128,47284264,F/M
129,47284264,Gen
130,47910517,F/M
131,47910517,Gen
132,45743218,F/F
133,45743218,F/M
134,45743218,Gen
135,47676889,F/M
136,46760389,F/M
137,45769018,F/M
138,47612044,F/M
139,47522161,F/M
140,45359485,F/M
141,47855410,F/M
142,47855410,Gen
143,47295070,F/M
144,47826139,F/M
145,47328748,F/M
146,45234034,F/M
147,45416176,F/M
148,45416176,M/M
149,47540767,F/M
150,47645962,F/M
151,47379352,F/M
152,44911999,F/M
153,46036882,F/M
154,47354797,F/M
155,47577742,F/M
156,46466728,F/M
157,45604426,F/M
158,45604426,Multi
159,46753933,F/M
160,46753933,M/M
161,47687353,F/M
162,47356318,F/F
163,47356318,F/M
164,47356318,Gen
165,47542519,F/M
166,45460267,Multi
167,47639770,F/M
168,47168512,F/M
169,47444356,F/M
170,46931593,F/M
171,47556925,Gen
172,47131483,F/M
173,47131483,Gen
174,47649367,F/M
175,45992374,F/M
176,44824219,F/M
177,44824219,Gen
178,44824219,Other
179,47808025,F/M
180,47725465,F/M
181,47722444,F/M
182,47722444,M/M
183,47722444,Multi
184,47703772,F/M
185,47703772,M/M
186,47335051,F/M
187,46085413,F/M
188,44850883,F/M
189,47634847,F/M
190,47764615,F/M
191,47337142,F/M
192,47721877,F/M
193,47170003,F/M
194,47477497,F/F
195,47477497,F/M
196,47359027,Gen
197,47778148,F/M
198,47682055,F/M
199,47404399,F/M
200,47427070,F/M
201,47238895,F/M
202,47304982,F/M
203,47588725,F/M
204,47693434,F/M
205,47200708,Gen
206,47358256,F/M
207,46754482,F/M
208,45793852,Multi
209,47751742,F/F
210,47751742,F/M
211,47539786,F/F
212,47539786,F/M
213,47365585,F/M
214,47336338,F/M
215,47895955,Multi
216,47048323,F/M
217,47280757,F/M
218,47726485,F/M
219,47335369,F/M
220,47695759,F/M
221,47666440,Other
222,47232418,F/M
223,46339879,F/M
224,47784598,F/F
225,47784598,F/M
226,47784598,Gen
227,47450914,F/M
228,47715661,F/M
229,45817276,F/M
230,47703181,F/M
231,47356699,F/M
232,47204788,F/M
233,47357278,F/M
234,47871481,F/M
235,47773249,M/M
236,47248693,F/M
237,47502760,F/M
238,47624440,Multi
239,47429617,F/M
240,47754919,F/M
241,47250964,F/M
242,47250964,M/M
243,47305393,F/F
244,47305393,Gen
245,47630596,F/M
246,47597992,F/M
247,47361784,Multi
248,47212141,F/M
249,47212141,M/M
250,47212141,Multi
251,47886844,F/M
252,47886844,M/M
253,47886844,Multi
254,45844012,F/M
255,45844012,M/M
256,45844012,Multi
257,47365840,F/M
258,47164804,F/M
259,47712694,F/M
260,46374463,Gen
261,46374463,F/F
262,47748958,F/M
263,47103748,F/M
264,46990882,F/M
265,47479732,F/M
266,47467075,F/M
267,47386591,F/M
268,47315245,F/M
269,47309245,F/M
270,47725999,Gen
271,47660152,F/M
272,47660152,M/M
273,46429513,F/M
274,47381956,F/M
275,47429638,F/M
276,47429638,M/M
277,47429638,Multi
278,46196092,F/M
279,45665989,F/F
280,45665989,F/M
281,45665989,M/M
282,47654323,F/M
283,47748139,F/M
284,47255707,M/M
285,45474022,F/M
286,47622721,F/M
287,47313190,Gen
288,47313190,Multi
289,47659378,F/M
290,47143141,F/M
291,47143141,Gen
292,45967144,F/M
293,45967144,M/M
294,45967144,Multi
295,47434738,F/M
296,47802421,F/M
297,47802421,Gen
298,45883108,F/M
299,47529664,Other
300,47478904,F/M
301,47496568,F/M
302,47279317,F/M
303,47785549,F/M
304,46680625,F/M
305,46801495,F/M
306,47756305,F/M
307,47756305,Gen
308,45361381,F/F
309,45361381,F/M
310,45289729,F/M
311,45928231,F/M
312,47535871,F/M
313,47446216,Other
314,47881369,F/M
315,46464568,F/M
316,47426188,Multi
317,47502532,F/M
318,47304523,F/M
319,47340415,Gen
320,47422114,F/M
321,47557849,F/M
322,47283313,F/M
323,47709244,F/M
324,46903384,F/M
325,46903384,Gen
326,47693110,F/M
327,47554045,F/M
328,47901025,F/M
329,47260102,F/M
330,47260102,Gen
331,47500639,F/M
332,47500639,Gen
333,47261371,F/M
334,46545298,F/M
335,46128526,F/M
336,46469533,F/M
337,45196636,F/M
338,47111407,F/M
339,47039815,F/M
340,46329682,F/M
341,46329682,Gen
342,46329682,M/M
343,46329682,Multi
344,47589151,F/M
345,47748490,F/M
346,47116633,F/M
347,47564686,Multi
348,47613250,F/M
349,46512439,F/M
350,47790751,F/M
351,45648898,F/M
352,45648898,Gen
353,47395024,F/M
354,47660725,F/M
355,47783791,F/M
356,47512669,Other
357,46882249,F/M
358,47159170,F/M
359,47159170,Gen
360,46232947,F/M
361,47136370,F/M
362,46408204,F/M
363,46546858,F/M
364,47885800,F/M
365,47885800,M/M
366,47908096,Gen
367,47908096,F/M
368,47618998,F/M
369,47259820,F/M
370,47437276,F/M
371,46882453,F/M
372,46882453,Multi
373,47333542,F/M
374,47591803,F/M
375,47591803,M/M
376,47591803,Other
377,47451670,F/M
378,47019994,F/M
379,47517634,F/F
380,47517634,F/M
381,47769124,F/M
382,47887528,F/M
383,47709505,F/M
384,47685940,F/M
385,47394868,M/M
386,47836729,F/M
387,47311807,Multi
388,47511262,F/M
389,47582689,F/M
390,47645983,F/M
391,47028382,F/M
392,45134431,F/F
393,45134431,F/M
394,45134431,M/M
395,45134431,Multi
396,47963101,F/M
397,48019768,F/M
398,48248254,F/M
399,48093526,F/M
400,47908165,Gen
401,48154525,Gen
402,48059404,Gen
403,48108604,F/M
404,48133564,F/M
405,48083995,F/M
406,47850358,F/M
407,48154897,Gen
408,48219574,F/M
409,48180865,F/M
410,48180865,M/M
411,48180865,Multi
412,48145213,F/M
413,48165541,Multi
414,47989714,F/M
415,48115486,F/M
416,47850424,Gen
417,48259435,F/M
418,48028060,F/M
419,48028060,Gen
420,48038953,Gen
421,47990719,Multi
422,48220174,F/M
423,47963587,Gen
424,48099418,Gen
425,48180079,F/M
426,48072769,F/M
427,47928916,Gen
428,47928916,M/M
429,48095515,F/F
430,48095515,F/M
431,48085939,Multi
432,47996479,Gen
433,48019540,F/M
434,48019540,Gen
435,48196072,F/M
436,48136978,Gen
437,48333115,F/M
438,48109195,F/M
439,48031762,F/M
440,48082909,F/M
441,47961637,F/M
442,48115693,F/M
443,47980660,Gen
444,48337855,Gen
445,47951596,F/M
446,47951596,Multi
447,48139006,Gen
448,48023284,F/M
449,47907286,Gen
450,48033853,F/M
451,48033853,Multi
452,48004510,F/M
453,48023983,F/M
454,48208957,Multi
455,48004363,F/M
456,48015346,F/M
457,48311128,M/M
458,48060256,F/M
459,48060256,Gen
460,48148105,F/M
461,47981308,Gen
462,47929756,F/M
463,48165481,F/M
464,48165481,Gen
465,48010930,F/M
466,48205993,F/M
467,48330664,F/M
468,48171700,F/M
469,48208477,Multi
470,48055312,F/M
471,48238117,F/M
472,48207586,F/M
473,48130069,F/M
474,48010030,F/M
475,48191224,F/M
476,48106315,Gen
477,47906674,Gen
478,48096337,F/M
479,47966419,F/M
480,48096685,F/M
481,48042094,F/M
482,48061528,Gen
483,48149953,F/M
484,48053065,Gen
485,48047875,Gen
486,48060433,Gen
487,48136435,F/M
488,48275737,F/M
489,48091924,Multi
490,48111517,F/M
491,48005476,F/M
492,48276091,F/M
493,48085003,F/F
494,48085003,F/M
495,48116380,Other
496,48336922,F/M
497,48078073,F/F
498,48078073,F/M
499,47964064,F/M
500,48025156,F/M
501,48037726,F/F
502,48037726,F/M
503,47985526,F/M
504,47924617,F/M
505,47996833,F/F
506,47996833,F/M
507,47996833,M/M
508,47996065,F/M
509,48105754,F/M
510,48105754,Gen
511,48068833,Gen
512,48072469,Gen
513,47968216,F/M
514,48008644,F/M
515,48193819,F/M
516,48193819,M/M
517,48193819,Multi
518,48291835,F/F
519,48291835,M/M
520,48088129,F/M
521,48088129,Gen
522,48139093,Gen
523,47989165,F/M
524,47989165,Gen
525,48068158,F/M
526,48069571,Gen
527,48045670,F/M
528,48045670,Multi
529,47966824,F/M
530,47728960,Gen
531,48037162,Gen
532,47928415,F/M
533,47476237,F/M
534,47476237,Gen
535,48194047,Gen
536,48026956,F/M
537,48115426,F/F
538,48115426,F/M
539,48213859,F/M
540,48319705,F/M
541,48211540,M/M
542,47975755,Gen
543,47949136,F/M
544,48256456,M/M
545,48171445,F/M
546,48202579,Other
547,48150373,F/F
548,48150373,F/M
549,48150373,Gen
550,47336308,F/M
551,48319147,F/M
552,47850496,Gen
553,48054592,F/M
554,47923171,F/M
555,48062422,F/M
556,48062422,M/M
557,48062422,Multi
558,48118678,F/M
559,48030172,Gen
560,48048670,F/M
561,48048670,Gen
562,48048670,M/M
563,48313270,Gen
564,48074035,F/M
565,48074035,Gen
566,48078949,F/M
567,48266293,F/M
568,48261055,F/M
569,47940577,F/M
570,48076579,Gen
571,48000253,F/M
572,48052411,F/M
573,48205195,F/M
574,47986495,F/M
575,48112156,F/M
576,48078289,F/M
577,48078289,Gen
578,48236017,F/M
579,48189547,F/M
580,48025828,F/M
581,48168460,F/M
582,48000049,F/M
583,48023206,F/M
584,48170050,Gen
585,47917651,F/M
586,48283300,F/F
587,48283300,F/M
588,48288715,F/M
589,48320119,F/M
590,48035086,Gen
591,47988043,F/M
592,48118483,F/M
593,48013183,F/M
594,48013183,Gen
595,48167488,F/M
596,48125884,F/M
597,48002926,Gen
598,47977333,F/M
599,47977333,Multi
600,48016129,Gen
601,48165343,F/M
602,48276196,F/M
603,48076186,F/M
604,48266905,F/M
605,48266905,M/M
606,48266905,Multi
607,48083566,Gen
608,48426454,F/M
609,48374044,F/M
610,48539494,F/M
611,48527668,Multi
612,48362479,F/M
613,48362479,Multi
614,48362479,M/M
615,48414940,F/M
616,48528784,Gen
617,48382711,F/M
618,48382711,Gen
619,48485209,F/F
620,48485209,F/M
621,48512188,F/M
622,48516979,F/M
623,48506008,F/M
624,48501214,F/M
625,48454231,F/M
626,48456991,Gen
627,48265411,F/M
628,48431602,F/M
629,48484999,F/M
630,48480718,Gen
631,48482560,F/M
632,48426712,F/M
633,48399796,Multi
634,48435880,F/M
635,48449260,F/M
636,48381313,F/M
637,48409900,F/M
638,48474718,F/M
639,48500440,F/M
640,48513907,F/M
641,48366109,Gen
642,48504781,F/M
643,48423001,F/M
644,48367831,F/M
645,48409354,F/F
646,48409354,M/M
647,48479122,F/M
648,48353452,Gen
649,48379822,Gen
650,48379414,F/M
651,48330700,F/M
652,48500950,F/M
653,48497083,F/M
654,48408883,F/M
655,48408136,F/M
656,48466294,F/M
657,48396433,F/M
658,48396433,M/M
659,48396433,Multi
660,48417784,F/M
661,48500479,F/M
662,48352765,F/M
663,48404263,F/M
664,48409744,F/F
665,48409744,F/M
666,48430636,Gen
667,48533065,F/M
668,48536566,F/F
669,48536566,F/M
670,48508660,F/M
671,48259729,F/M
672,48704470,Multi
673,48586786,F/M
674,48619492,F/M
675,48619225,F/M
676,48811327,F/M
677,48811327,M/M
678,48811327,Multi
679,48812923,F/M
680,48640894,Gen
681,48622111,F/M
682,48769711,F/M
683,48571675,F/M
684,48666739,F/M
685,48811660,F/M
686,48810526,F/M
687,48629044,F/M
688,48698134,F/M
689,48622816,F/F
690,48622816,F/M
691,48590188,F/M
692,48715684,F/M
693,48602128,F/F
694,48602128,F/M
695,48705856,F/M
696,48715675,F/M
697,48588766,Gen
698,48701503,F/M
699,48682120,F/M
700,48806950,F/M
701,48806998,F/M
702,48553756,F/M
703,48765895,F/M
704,48689536,F/M
705,48585496,F/M
706,48700591,F/M
707,48700591,M/M
708,48700591,Other
709,48685399,Gen
710,48678898,F/M
711,48611209,F/M
712,48811318,F/M
713,48638044,F/M
714,48729823,F/M
715,48729823,Gen
716,48603286,F/M
717,48406969,F/F
718,48583030,F/M
719,48637726,F/M
720,48612982,Gen
721,48711628,F/M
722,48527650,F/M
723,48783313,F/M
724,48763933,F/M
725,48769486,F/M
726,48782608,F/M
727,48782608,Gen
728,48811774,F/M
729,48811774,Gen
730,48589309,F/M
731,48796933,F/M
732,48705952,F/M
733,48762562,F/M
734,48707881,Gen
735,48833458,F/M
736,48560389,F/M
737,48642067,F/M
738,48642067,Multi
739,48724297,F/M
740,48724297,Gen
741,48801607,F/M
742,48702007,M/M
743,48842068,M/M
744,48842068,Multi
745,48705175,F/M
746,48610858,F/M
747,48806170,F/M
748,48806170,Gen
749,48632254,Gen
750,48755167,F/M
751,48735928,F/M
752,48848758,F/M
753,48597004,F/M
754,48597004,Other
755,48648919,F/F
756,48648919,F/M
757,48648919,Gen
758,48787459,Gen
759,48772288,F/M
760,48748432,F/M
761,48748432,Gen
762,48224551,Gen
763,48859690,F/M
764,48858517,F/M
765,48869611,Gen
766,48203275,F/F
767,48856123,F/M
768,48856123,Gen
769,48862312,F/M
770,48862312,M/M
771,48862312,Multi
772,48854899,F/M
773,48872416,F/M
774,48896122,F/M
775,48888385,F/M
776,48873058,F/M
777,48885415,Gen
778,48895987,F/M
779,49011970,Gen
780,49352560,Gen
781,49317145,F/M
782,48922960,Gen
783,48908800,F/M
784,48913597,F/M
785,49286488,Gen
786,48943711,Gen
787,49103290,F/M
788,48954265,F/M
789,49302100,F/F
790,48936070,F/M
791,49162249,F/M
792,49162249,M/M
793,49162249,Multi
794,49069381,F/M
795,49111561,F/M
796,49235398,F/M
797,49383118,F/M
798,48986104,F/M
799,49102291,F/M
800,48986068,F/M
801,49263856,F/M
802,49281448,F/M
803,49278652,F/M
804,49297198,F/M
805,49215013,F/M
806,49245697,F/M
807,49187671,Gen
808,48926989,F/M
809,49306138,Gen
810,49306138,F/M
811,49258075,F/M
812,49042171,F/M
813,49042171,Gen
814,49204378,F/M
815,48983425,F/M
816,49102687,F/M
817,49298506,F/M
818,49112893,F/M
819,49359211,F/F
820,49359211,F/M
821,49164418,F/F
822,49164418,F/M
823,49177294,F/M
824,48451423,F/M
825,49350133,F/M
826,49258810,F/M
827,49146907,Gen
828,48977311,F/M
829,49324639,F/M
830,49287877,F/F
831,49287877,F/M
832,49287877,Gen
833,49014196,F/M
834,49014196,Gen
835,49271491,F/M
836,49164154,F/M
837,49179106,F/M
838,48989446,F/M
839,48989446,Gen
840,49330609,F/M
841,49039228,M/M
842,48922468,F/M
843,49271938,F/M
844,48992113,Gen
845,49018657,F/M
846,49215271,F/M
847,49215271,Gen
848,49329886,F/M
849,49299289,F/M
850,49299289,Gen
851,49234888,F/M
852,49114798,F/M
853,49103302,F/M
854,49038103,F/M
855,49027033,F/M
856,49127299,F/M
857,48971461,Gen
858,49323439,F/M
859,49323439,Gen
860,48917956,F/M
861,48917041,F/M
862,49156138,F/M
863,48925984,F/M
864,49089259,F/F
865,49089259,F/M
866,49288636,F/M
867,49316263,F/M
868,49090273,F/M
869,49116883,F/M
870,49170103,F/M
871,49192126,F/M
872,49220470,F/M
873,49267126,F/M
874,49115911,F/M
875,49196050,F/F
876,49196050,F/M
877,49196050,Gen
878,49170292,F/M
879,49130206,F/M
880,49093756,F/M
881,49328335,F/M
882,49170589,F/M
883,48648046,F/M
884,49212589,F/M
885,48921346,F/M
886,49157965,F/M
887,49362166,F/M
888,48906745,F/M
889,48919639,F/M
890,48962296,F/M
891,48962296,Gen
892,48940747,Gen
893,48940450,F/F
894,48940450,F/M
895,48940450,Multi
896,49286419,F/M
897,49320493,F/M
898,49274719,F/F
899,49274719,F/M
900,49329535,Gen
901,49280125,Gen
902,49127728,F/M
903,49039726,F/M
904,49359079,F/M
905,49125118,F/M
906,49335481,F/M
907,49309756,F/M
908,49309756,Gen
909,49309756,M/M
910,49196104,Gen
911,48952885,Multi
912,48929986,F/M
913,49321108,Gen
914,49107796,F/M
915,49338292,F/M
916,49338292,Gen
917,49213702,F/M
918,49196485,F/M
919,49196485,Gen
920,49002253,Gen
921,49310134,F/M
922,49111954,F/M
923,49148776,F/M
924,49449400,Multi
925,49286761,Gen
926,49472146,F/M
927,49472146,M/M
928,49472146,Multi
929,49454635,F/M
930,49571911,Multi
931,49531288,F/M
932,49531288,Gen
933,49470412,F/M
934,49574860,Gen
935,49548382,F/M
936,49432429,F/M
937,49568359,F/M
938,49510897,F/F
939,49510897,F/M
940,49401559,F/M
941,49401559,Other
942,49458436,F/M
943,49386217,F/M
944,49498546,F/M
945,49508599,F/M
946,49550656,F/M
947,49420969,F/M
948,49387069,Gen
949,49444819,F/M
950,49414831,F/M
951,49559977,F/M
952,49448134,F/F
953,49448134,Gen
954,49409632,F/M
955,49398193,F/M
956,49528009,F/M
957,49405678,F/M
958,49385602,F/M
959,49557169,F/M
960,49481113,F/M
961,49387075,F/M
962,49396693,Gen
963,49552522,F/M
964,49529914,F/M
965,49506361,F/M
966,49471582,M/M
967,49472440,F/M
968,49543789,Gen
969,49574938,F/M
970,49456729,F/M
971,49551775,Gen
972,49551775,Multi
973,49495663,F/M
974,49569928,F/M
975,49482244,F/M
976,49550275,F/M
977,49511536,F/M
978,49477813,F/M
979,49477813,Gen
980,49477813,M/M
981,49477813,Multi
982,49531678,F/M
